headline,guardian_keywords,esg_category
Calls for more space for walking and cycling in UK during lockdown ,"['environment', 'air pollution']",environmental
First commercial flight partly fuelled by recycled waste lands in UK ,"['renewable energy', 'pollution', 'climate change', 'environment']",environmental
"The Guardian view on food security: if the dreamers lose, we face a nightmare | Editorial ","['climate change', 'environment']",environmental
Walkers to recycle crisp packets after postal protest ,"['recycling', 'environment', 'waste', 'plastics']",environmental
Life after divestment: how to spend the money saved from fossil fuel investments ,"['climate change', 'environment']",environmental
Amazon rainforest 'close to irreversible tipping point' ,"['climate change', 'environment']",environmental
Supermarkets pledge to cut food waste 20% by 2025 ,"['waste', 'environment']",environmental
'We will crack it': Boris Johnson sets out his climate crisis vision ,"['environment', 'climate change']",environmental
Permanent PJs and pivoting designers: how the pandemic hit the fashion world ,"['climate change', 'environment']",environmental
Fossil fuel use must fall twice as fast as thought to contain global warming - study ,"['greenhouse gas emissions', 'climate change', 'environment', 'climate change']",environmental
"It feels like 1976. And that long, hot summer didn’t end well | Andy Beckett ",['climate change'],environmental
Saxon church prays for deliverance from nuclear plant ,"['environment', 'renewable energy']",environmental
2016 hottest year ever recorded – and scientists say human activity to blame ,"['climate change', 'greenhouse gas emissions', 'environment', 'climate change']",environmental
I’ve seen how perilous life in Sierra Leone can be. We cannot ignore this disaster| Hannah Mitchell ,"['climate change', 'environment']",environmental
Can cities kick ads? Inside the global movement to ban urban billboards ,"['pollution', 'environment']",environmental
Why leaving fossil fuels in the ground is good for everyone  @georgemonbiot,"['environment', 'climate change', 'greenhouse gas emissions']",environmental
Eco-friendly architecture in the Alps hits new heights ,"['environment', 'climate change']",environmental
No country for old men? It’s those with aged mindsets who need to get out of the way | Suzanne Moore ,"['environment', 'climate change']",environmental
Bill Gates to invest $2bn in breakthrough renewable energy projects #keepitintheground ,"['renewable energy', 'climate change', 'environment']",environmental
More people dying early from air pollution in England ,"['pollution', 'environment']",environmental
Time to call the non-EU doctor | Letters ,"['climate change', 'environment']",environmental
UK experiences hottest winter day ever as 21.2C is recorded in London ,['climate change'],environmental
"Rise in global carbon emissions a 'big step backwards', says BP ","['greenhouse gas emissions', 'climate change', 'environment']",environmental
Chemical pollution from M6 lorry fire thought to be behind mass fish deaths ,"['pollution', 'environment']",environmental
Blair and Clinton: global concerns of two buddies ,['climate change'],environmental
Pope Francis is a bit like Naomi Klein in a cassock | Giles Fraser: Loose canon ,"['environment', 'climate change']",environmental
How real is Saudi Arabia's interest in renewable energy? ,"['environment', 'renewable energy']",environmental
Venue of last resort: the climate lawsuits threatening the future of big oil ,"['environment', 'climate change']",environmental
UK has second-highest number of deaths from NO2 pollution in Europe ,"['pollution', 'environment']",environmental
"Don't blame meat for the climate crisis, say European livestock farmers ","['environment', 'climate change']",environmental
When will the world wake up to the potential of poo power?  via @GuardianGDP,"['renewable energy', 'environment', 'waste']",environmental
Pollen data shows humans reversed natural global cooling | John Abraham ,"['climate change', 'environment', 'climate change']",environmental
Could gas from grass rival fracking to heat UK homes? ,"['renewable energy', 'greenhouse gas emissions', 'environment']",environmental
"Deadliest plastics: bags and packaging biggest marine life killers, study finds ","['environment', 'plastics']",environmental
Five Pacific islands lost to rising seas as climate change hits ,"['environment', 'climate change', 'climate change']",environmental
Jane Fonda accepts Bafta award during arrest at climate protest ,"['climate change', 'environment']",environmental
Tesco's plastics purge: what took so long and is it enough? ,"['plastics', 'environment']",environmental
The biggest Coalition conspiracy theory is climate change denial | Greg Jericho ,"['climate change', 'environment']",environmental
Barcelona port is worst in Europe for cruise ship air pollution ,"['pollution', 'environment', 'air pollution']",environmental
Eat less red meat and cycle more for your and the planet's health ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
'There is no link': the climate doubters within Scott Morrison's government ,"['climate change', 'environment']",environmental
Coastal flooding: a sign of the damage our economy is wreaking on our fragile environment ,"['climate change', 'environment', 'climate change']",environmental
Losing our marbles over Stonehenge | Brief letters ,"['environment', 'renewable energy', 'climate change']",environmental
Digging in: a million trees planted as villages and schools join climate battle ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Climate crisis and Covid-19 conspire to crush oil firms like Tullow ,['climate change'],environmental
"Stopping global warming is only way to save Great Barrier Reef, scientists warn ","['climate change', 'climate change', 'environment', 'greenhouse gas emissions']",environmental
Why is Europe going through a heatwave? ,"['climate change', 'environment']",environmental
Obama's clean power plan will hit shale gas share of electricity ,"['renewable energy', 'environment']",environmental
Our Green Star energy meter is anything but smart ,"['renewable energy', 'environment']",environmental
"Melting ice sheets are hastening sea level rise, satellite data confirms ","['climate change', 'environment']",environmental
